rank	slug	city	state	voice	art_kit	briefing
98	richmond_va	Richmond	VA	Daniel	Coastal Port	Radio briefing: Richmond, VA is stop 098 on the national route. Secure the Richmond Rescue Arch in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
99	cape_coral_fl	Cape Coral	FL	Daniel	Coastal Port	Radio briefing: Cape Coral, FL is stop 099 on the national route. Secure the Cape Coral Data Beacon in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
100	norfolk_va	Norfolk	VA	Daniel	Coastal Port	Radio briefing: Norfolk, VA is stop 100 on the national route. Secure the Norfolk Command Obelisk in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
101	spokane_wa	Spokane	WA	Samantha	Coastal Port	Radio briefing: Spokane, WA is stop 101 on the national route. Secure the Spokane Relay Bridge in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
102	huntsville_al	Huntsville	AL	Daniel	Metro Core	Radio briefing: Huntsville, AL is stop 102 on the national route. Secure the Huntsville Power Crown in the Metro Core, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
103	santa_clarita_ca	Santa Clarita	CA	Samantha	Coastal Port	Radio briefing: Santa Clarita, CA is stop 103 on the national route. Secure the Santa Clarita Signal Spire in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
104	tacoma_wa	Tacoma	WA	Samantha	Coastal Port	Radio briefing: Tacoma, WA is stop 104 on the national route. Secure the Tacoma Rescue Arch in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
105	fremont_ca	Fremont	CA	Samantha	Coastal Port	Radio briefing: Fremont, CA is stop 105 on the national route. Secure the Fremont Data Beacon in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 1: visual packets run backward from tower to terminal.
106	mckinney_tx	McKinney	TX	Daniel	Desert Solar Grid	Radio briefing: McKinney, TX is stop 106 on the national route. Secure the McKinney Command Obelisk in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
107	san_bernardino_ca	San Bernardino	CA	Samantha	Coastal Port	Radio briefing: San Bernardino, CA is stop 107 on the national route. Secure the San Bernardino Relay Bridge in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
108	baton_rouge_la	Baton Rouge	LA	Daniel	Coastal Port	Radio briefing: Baton Rouge, LA is stop 108 on the national route. Secure the Baton Rouge Power Crown in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
109	modesto_ca	Modesto	CA	Samantha	Coastal Port	Radio briefing: Modesto, CA is stop 109 on the national route. Secure the Modesto Signal Spire in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
110	fontana_ca	Fontana	CA	Samantha	Coastal Port	Radio briefing: Fontana, CA is stop 110 on the national route. Secure the Fontana Rescue Arch in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 2: visual packets run backward from tower to terminal.
111	salt_lake_city_ut	Salt Lake City	UT	Samantha	Mountain Relay	Radio briefing: Salt Lake City, UT is stop 111 on the national route. Secure the Salt Lake City Data Beacon in the Mountain Relay, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
112	moreno_valley_ca	Moreno Valley	CA	Samantha	Coastal Port	Radio briefing: Moreno Valley, CA is stop 112 on the national route. Secure the Moreno Valley Command Obelisk in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
113	des_moines_ia	Des Moines	IA	Alex	River Lockworks	Radio briefing: Des Moines, IA is stop 113 on the national route. Secure the Des Moines Relay Bridge in the River Lockworks, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
114	worcester_ma	Worcester	MA	Victoria	African Urban Relay	Radio briefing: Worcester, MA is stop 114 on the national route. Secure the Worcester Power Crown in the African Urban Relay, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
115	yonkers_ny	Yonkers	NY	Victoria	Coastal Port	Radio briefing: Yonkers, NY is stop 115 on the national route. Secure the Yonkers Signal Spire in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 3: visual packets run backward from tower to terminal.
116	fayetteville_nc	Fayetteville	NC	Daniel	Coastal Port	Radio briefing: Fayetteville, NC is stop 116 on the national route. Secure the Fayetteville Rescue Arch in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
117	sioux_falls_sd	Sioux Falls	SD	Alex	Rail Yard	Radio briefing: Sioux Falls, SD is stop 117 on the national route. Secure the Sioux Falls Data Beacon in the Rail Yard, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
118	grand_prairie_tx	Grand Prairie	TX	Daniel	Desert Solar Grid	Radio briefing: Grand Prairie, TX is stop 118 on the national route. Secure the Grand Prairie Command Obelisk in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
119	rochester_ny	Rochester	NY	Victoria	Coastal Port	Radio briefing: Rochester, NY is stop 119 on the national route. Secure the Rochester Relay Bridge in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
120	tallahassee_fl	Tallahassee	FL	Daniel	Coastal Port	Radio briefing: Tallahassee, FL is stop 120 on the national route. Secure the Tallahassee Power Crown in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
121	little_rock_ar	Little Rock	AR	Daniel	Latin Metro	Radio briefing: Little Rock, AR is stop 121 on the national route. Secure the Little Rock Signal Spire in the Latin Metro, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
122	amarillo_tx	Amarillo	TX	Daniel	Desert Solar Grid	Radio briefing: Amarillo, TX is stop 122 on the national route. Secure the Amarillo Rescue Arch in the Desert Solar Grid, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
123	overland_park_ks	Overland Park	KS	Alex	Rail Yard	Radio briefing: Overland Park, KS is stop 123 on the national route. Secure the Overland Park Data Beacon in the Rail Yard, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
124	columbus_ga	Columbus	GA	Daniel	Coastal Port	Radio briefing: Columbus, GA is stop 124 on the national route. Secure the Columbus Command Obelisk in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
125	augusta_richmond_county_ga	Augusta-Richmond County	GA	Daniel	Coastal Port	Radio briefing: Augusta-Richmond County, GA is stop 125 on the national route. Secure the Augusta-Richmond County Relay Bridge in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 1: visual packets run backward from tower to terminal.
126	mobile_al	Mobile	AL	Daniel	Metro Core	Radio briefing: Mobile, AL is stop 126 on the national route. Secure the Mobile Power Crown in the Metro Core, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
127	oxnard_ca	Oxnard	CA	Samantha	Coastal Port	Radio briefing: Oxnard, CA is stop 127 on the national route. Secure the Oxnard Signal Spire in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
128	grand_rapids_mi	Grand Rapids	MI	Alex	Great Lakes Industrial	Radio briefing: Grand Rapids, MI is stop 128 on the national route. Secure the Grand Rapids Rescue Arch in the Great Lakes Industrial, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
129	peoria_az	Peoria	AZ	Samantha	Desert Solar Grid	Radio briefing: Peoria, AZ is stop 129 on the national route. Secure the Peoria Data Beacon in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
130	vancouver_wa	Vancouver	WA	Samantha	Coastal Port	Radio briefing: Vancouver, WA is stop 130 on the national route. Secure the Vancouver Command Obelisk in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 2: visual packets run backward from tower to terminal.
131	knoxville_tn	Knoxville	TN	Daniel	African Urban Relay	Radio briefing: Knoxville, TN is stop 131 on the national route. Secure the Knoxville Relay Bridge in the African Urban Relay, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
132	birmingham_al	Birmingham	AL	Daniel	Metro Core	Radio briefing: Birmingham, AL is stop 132 on the national route. Secure the Birmingham Power Crown in the Metro Core, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
133	montgomery_al	Montgomery	AL	Daniel	Metro Core	Radio briefing: Montgomery, AL is stop 133 on the national route. Secure the Montgomery Signal Spire in the Metro Core, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
134	providence_ri	Providence	RI	Victoria	Coastal Port	Radio briefing: Providence, RI is stop 134 on the national route. Secure the Providence Rescue Arch in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
135	huntington_beach_ca	Huntington Beach	CA	Samantha	Coastal Port	Radio briefing: Huntington Beach, CA is stop 135 on the national route. Secure the Huntington Beach Data Beacon in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 3: visual packets run backward from tower to terminal.
136	brownsville_tx	Brownsville	TX	Daniel	Desert Solar Grid	Radio briefing: Brownsville, TX is stop 136 on the national route. Secure the Brownsville Command Obelisk in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
137	chattanooga_tn	Chattanooga	TN	Daniel	African Urban Relay	Radio briefing: Chattanooga, TN is stop 137 on the national route. Secure the Chattanooga Relay Bridge in the African Urban Relay, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
138	fort_lauderdale_fl	Fort Lauderdale	FL	Daniel	Coastal Port	Radio briefing: Fort Lauderdale, FL is stop 138 on the national route. Secure the Fort Lauderdale Power Crown in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
139	tempe_az	Tempe	AZ	Samantha	Desert Solar Grid	Radio briefing: Tempe, AZ is stop 139 on the national route. Secure the Tempe Signal Spire in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
140	akron_oh	Akron	OH	Alex	Great Lakes Industrial	Radio briefing: Akron, OH is stop 140 on the national route. Secure the Akron Rescue Arch in the Great Lakes Industrial, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
141	glendale_ca	Glendale	CA	Samantha	Coastal Port	Radio briefing: Glendale, CA is stop 141 on the national route. Secure the Glendale Data Beacon in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
142	clarksville_tn	Clarksville	TN	Daniel	African Urban Relay	Radio briefing: Clarksville, TN is stop 142 on the national route. Secure the Clarksville Command Obelisk in the African Urban Relay, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
143	ontario_ca	Ontario	CA	Samantha	Coastal Port	Radio briefing: Ontario, CA is stop 143 on the national route. Secure the Ontario Relay Bridge in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
144	newport_news_va	Newport News	VA	Daniel	Coastal Port	Radio briefing: Newport News, VA is stop 144 on the national route. Secure the Newport News Power Crown in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
145	elk_grove_ca	Elk Grove	CA	Samantha	Coastal Port	Radio briefing: Elk Grove, CA is stop 145 on the national route. Secure the Elk Grove Signal Spire in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 1: visual packets run backward from tower to terminal.
146	cary_nc	Cary	NC	Daniel	Coastal Port	Radio briefing: Cary, NC is stop 146 on the national route. Secure the Cary Rescue Arch in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
147	aurora_il	Aurora	IL	Alex	Great Lakes Industrial	Radio briefing: Aurora, IL is stop 147 on the national route. Secure the Aurora Data Beacon in the Great Lakes Industrial, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
148	salem_or	Salem	OR	Samantha	Coastal Port	Radio briefing: Salem, OR is stop 148 on the national route. Secure the Salem Command Obelisk in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
149	pembroke_pines_fl	Pembroke Pines	FL	Daniel	Coastal Port	Radio briefing: Pembroke Pines, FL is stop 149 on the national route. Secure the Pembroke Pines Relay Bridge in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
150	eugene_or	Eugene	OR	Samantha	Coastal Port	Radio briefing: Eugene, OR is stop 150 on the national route. Secure the Eugene Power Crown in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 2: visual packets run backward from tower to terminal.
151	santa_rosa_ca	Santa Rosa	CA	Samantha	Coastal Port	Radio briefing: Santa Rosa, CA is stop 151 on the national route. Secure the Santa Rosa Signal Spire in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
152	rancho_cucamonga_ca	Rancho Cucamonga	CA	Samantha	Coastal Port	Radio briefing: Rancho Cucamonga, CA is stop 152 on the national route. Secure the Rancho Cucamonga Rescue Arch in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
153	shreveport_la	Shreveport	LA	Daniel	Coastal Port	Radio briefing: Shreveport, LA is stop 153 on the national route. Secure the Shreveport Data Beacon in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
154	garden_grove_ca	Garden Grove	CA	Samantha	Coastal Port	Radio briefing: Garden Grove, CA is stop 154 on the national route. Secure the Garden Grove Command Obelisk in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
155	oceanside_ca	Oceanside	CA	Samantha	Coastal Port	Radio briefing: Oceanside, CA is stop 155 on the national route. Secure the Oceanside Relay Bridge in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 3: visual packets run backward from tower to terminal.
156	fort_collins_co	Fort Collins	CO	Samantha	Latin Metro	Radio briefing: Fort Collins, CO is stop 156 on the national route. Secure the Fort Collins Power Crown in the Latin Metro, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
157	springfield_mo	Springfield	MO	Alex	River Lockworks	Radio briefing: Springfield, MO is stop 157 on the national route. Secure the Springfield Signal Spire in the River Lockworks, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
158	murfreesboro_tn	Murfreesboro	TN	Daniel	African Urban Relay	Radio briefing: Murfreesboro, TN is stop 158 on the national route. Secure the Murfreesboro Rescue Arch in the African Urban Relay, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
159	surprise_az	Surprise	AZ	Samantha	Desert Solar Grid	Radio briefing: Surprise, AZ is stop 159 on the national route. Secure the Surprise Data Beacon in the Desert Solar Grid, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
160	lancaster_ca	Lancaster	CA	Samantha	Coastal Port	Radio briefing: Lancaster, CA is stop 160 on the national route. Secure the Lancaster Command Obelisk in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
161	denton_tx	Denton	TX	Daniel	Desert Solar Grid	Radio briefing: Denton, TX is stop 161 on the national route. Secure the Denton Relay Bridge in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
162	roseville_ca	Roseville	CA	Samantha	Coastal Port	Radio briefing: Roseville, CA is stop 162 on the national route. Secure the Roseville Power Crown in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.
163	palmdale_ca	Palmdale	CA	Samantha	Coastal Port	Radio briefing: Palmdale, CA is stop 163 on the national route. Secure the Palmdale Signal Spire in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
164	corona_ca	Corona	CA	Samantha	Coastal Port	Radio briefing: Corona, CA is stop 164 on the national route. Secure the Corona Rescue Arch in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
165	salinas_ca	Salinas	CA	Samantha	Coastal Port	Radio briefing: Salinas, CA is stop 165 on the national route. Secure the Salinas Data Beacon in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 1: visual packets run backward from tower to terminal.
166	killeen_tx	Killeen	TX	Daniel	Desert Solar Grid	Radio briefing: Killeen, TX is stop 166 on the national route. Secure the Killeen Command Obelisk in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
167	paterson_nj	Paterson	NJ	Victoria	Coastal Port	Radio briefing: Paterson, NJ is stop 167 on the national route. Secure the Paterson Relay Bridge in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
168	alexandria_va	Alexandria	VA	Daniel	Coastal Port	Radio briefing: Alexandria, VA is stop 168 on the national route. Secure the Alexandria Power Crown in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
169	hollywood_fl	Hollywood	FL	Daniel	Coastal Port	Radio briefing: Hollywood, FL is stop 169 on the national route. Secure the Hollywood Signal Spire in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
170	hayward_ca	Hayward	CA	Samantha	Coastal Port	Radio briefing: Hayward, CA is stop 170 on the national route. Secure the Hayward Rescue Arch in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 2: visual packets run backward from tower to terminal.
171	charleston_sc	Charleston	SC	Daniel	Coastal Port	Radio briefing: Charleston, SC is stop 171 on the national route. Secure the Charleston Data Beacon in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
172	macon_bibb_county_ga	Macon-Bibb County	GA	Daniel	Coastal Port	Radio briefing: Macon-Bibb County, GA is stop 172 on the national route. Secure the Macon-Bibb County Command Obelisk in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
173	lakewood_co	Lakewood	CO	Samantha	Latin Metro	Radio briefing: Lakewood, CO is stop 173 on the national route. Secure the Lakewood Relay Bridge in the Latin Metro, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
174	sunnyvale_ca	Sunnyvale	CA	Samantha	Coastal Port	Radio briefing: Sunnyvale, CA is stop 174 on the national route. Secure the Sunnyvale Power Crown in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
175	kansas_city_ks	Kansas City	KS	Alex	Rail Yard	Radio briefing: Kansas City, KS is stop 175 on the national route. Secure the Kansas City Signal Spire in the Rail Yard, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.
176	springfield_ma	Springfield	MA	Victoria	African Urban Relay	Radio briefing: Springfield, MA is stop 176 on the national route. Secure the Springfield Rescue Arch in the African Urban Relay, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 4: node markers show current, next, and stop sentinel movement.
177	bellevue_wa	Bellevue	WA	Samantha	Coastal Port	Radio briefing: Bellevue, WA is stop 177 on the national route. Secure the Bellevue Data Beacon in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 1: paired light posts teach left/right character comparisons.
178	naperville_il	Naperville	IL	Alex	Great Lakes Industrial	Radio briefing: Naperville, IL is stop 178 on the national route. Secure the Naperville Command Obelisk in the Great Lakes Industrial, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.
179	joliet_il	Joliet	IL	Alex	Great Lakes Industrial	Radio briefing: Joliet, IL is stop 179 on the national route. Secure the Joliet Relay Bridge in the Great Lakes Industrial, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.
180	bridgeport_ct	Bridgeport	CT	Victoria	Coastal Port	Radio briefing: Bridgeport, CT is stop 180 on the national route. Secure the Bridgeport Power Crown in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.
181	mesquite_tx	Mesquite	TX	Daniel	Desert Solar Grid	Radio briefing: Mesquite, TX is stop 181 on the national route. Secure the Mesquite Signal Spire in the Desert Solar Grid, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 1: node markers show current, next, and stop sentinel movement.
182	pasadena_tx	Pasadena	TX	Daniel	Desert Solar Grid	Radio briefing: Pasadena, TX is stop 182 on the national route. Secure the Pasadena Rescue Arch in the Desert Solar Grid, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 2: paired light posts teach left/right character comparisons.
183	olathe_ks	Olathe	KS	Alex	Rail Yard	Radio briefing: Olathe, KS is stop 183 on the national route. Secure the Olathe Data Beacon in the Rail Yard, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 3: shrinking light bands show low, mid, and high bounds.
184	escondido_ca	Escondido	CA	Samantha	Coastal Port	Radio briefing: Escondido, CA is stop 184 on the national route. Secure the Escondido Command Obelisk in the Coastal Port, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.
185	savannah_ga	Savannah	GA	Daniel	Coastal Port	Radio briefing: Savannah, GA is stop 185 on the national route. Secure the Savannah Relay Bridge in the Coastal Port, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.
186	mcallen_tx	McAllen	TX	Daniel	Desert Solar Grid	Radio briefing: McAllen, TX is stop 186 on the national route. Secure the McAllen Power Crown in the Desert Solar Grid, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 2: node markers show current, next, and stop sentinel movement.
187	gainesville_fl	Gainesville	FL	Daniel	Coastal Port	Radio briefing: Gainesville, FL is stop 187 on the national route. Secure the Gainesville Signal Spire in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 3: paired light posts teach left/right character comparisons.
188	pomona_ca	Pomona	CA	Samantha	Coastal Port	Radio briefing: Pomona, CA is stop 188 on the national route. Secure the Pomona Rescue Arch in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.
189	rockford_il	Rockford	IL	Alex	Great Lakes Industrial	Radio briefing: Rockford, IL is stop 189 on the national route. Secure the Rockford Data Beacon in the Great Lakes Industrial, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
190	thornton_co	Thornton	CO	Samantha	Latin Metro	Radio briefing: Thornton, CO is stop 190 on the national route. Secure the Thornton Command Obelisk in the Latin Metro, finish the array filtering with predicates lesson, then extract the survivor team. New city feature: Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.
191	waco_tx	Waco	TX	Daniel	Desert Solar Grid	Radio briefing: Waco, TX is stop 191 on the national route. Secure the Waco Relay Bridge in the Desert Solar Grid, finish the stateful traversal through linked rescue nodes lesson, then extract the survivor team. New city feature: Evacuation chain 3: node markers show current, next, and stop sentinel movement.
192	visalia_ca	Visalia	CA	Samantha	Coastal Port	Radio briefing: Visalia, CA is stop 192 on the national route. Secure the Visalia Power Crown in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
193	syracuse_ny	Syracuse	NY	Victoria	Coastal Port	Radio briefing: Syracuse, NY is stop 193 on the national route. Secure the Syracuse Signal Spire in the Coastal Port, finish the halving a sorted search space with bounds lesson, then extract the survivor team. New city feature: Sorted-cache vault 1: shrinking light bands show low, mid, and high bounds.
