rank	slug	city	voice	radio_key	subtitle_fallback	system_voice_fallback	cooked_cue_strategy	ambient_zone	coverage_status
135	huntington_beach_ca	Huntington Beach	Samantha	campaign.135.huntington_beach_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
136	brownsville_tx	Brownsville	Daniel	campaign.136.brownsville_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
137	chattanooga_tn	Chattanooga	Daniel	campaign.137.chattanooga_tn.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
138	fort_lauderdale_fl	Fort Lauderdale	Daniel	campaign.138.fort_lauderdale_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
139	tempe_az	Tempe	Samantha	campaign.139.tempe_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
140	akron_oh	Akron	Alex	campaign.140.akron_oh.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
141	glendale_ca	Glendale	Samantha	campaign.141.glendale_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
142	clarksville_tn	Clarksville	Daniel	campaign.142.clarksville_tn.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
143	ontario_ca	Ontario	Samantha	campaign.143.ontario_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
144	newport_news_va	Newport News	Daniel	campaign.144.newport_news_va.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
145	elk_grove_ca	Elk Grove	Samantha	campaign.145.elk_grove_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
146	cary_nc	Cary	Daniel	campaign.146.cary_nc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
147	aurora_il	Aurora	Alex	campaign.147.aurora_il.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
148	salem_or	Salem	Samantha	campaign.148.salem_or.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
149	pembroke_pines_fl	Pembroke Pines	Daniel	campaign.149.pembroke_pines_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
150	eugene_or	Eugene	Samantha	campaign.150.eugene_or.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
151	santa_rosa_ca	Santa Rosa	Samantha	campaign.151.santa_rosa_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
152	rancho_cucamonga_ca	Rancho Cucamonga	Samantha	campaign.152.rancho_cucamonga_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
153	shreveport_la	Shreveport	Daniel	campaign.153.shreveport_la.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
154	garden_grove_ca	Garden Grove	Samantha	campaign.154.garden_grove_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
155	oceanside_ca	Oceanside	Samantha	campaign.155.oceanside_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
156	fort_collins_co	Fort Collins	Samantha	campaign.156.fort_collins_co.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
157	springfield_mo	Springfield	Alex	campaign.157.springfield_mo.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
158	murfreesboro_tn	Murfreesboro	Daniel	campaign.158.murfreesboro_tn.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
159	surprise_az	Surprise	Samantha	campaign.159.surprise_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
160	lancaster_ca	Lancaster	Samantha	campaign.160.lancaster_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
161	denton_tx	Denton	Daniel	campaign.161.denton_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
162	roseville_ca	Roseville	Samantha	campaign.162.roseville_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
163	palmdale_ca	Palmdale	Samantha	campaign.163.palmdale_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
164	corona_ca	Corona	Samantha	campaign.164.corona_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
165	salinas_ca	Salinas	Samantha	campaign.165.salinas_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
166	killeen_tx	Killeen	Daniel	campaign.166.killeen_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
167	paterson_nj	Paterson	Victoria	campaign.167.paterson_nj.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
168	alexandria_va	Alexandria	Daniel	campaign.168.alexandria_va.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
169	hollywood_fl	Hollywood	Daniel	campaign.169.hollywood_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
170	hayward_ca	Hayward	Samantha	campaign.170.hayward_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
171	charleston_sc	Charleston	Daniel	campaign.171.charleston_sc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
172	macon_bibb_county_ga	Macon-Bibb County	Daniel	campaign.172.macon_bibb_county_ga.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
173	lakewood_co	Lakewood	Samantha	campaign.173.lakewood_co.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
174	sunnyvale_ca	Sunnyvale	Samantha	campaign.174.sunnyvale_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
175	kansas_city_ks	Kansas City	Alex	campaign.175.kansas_city_ks.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
176	springfield_ma	Springfield	Victoria	campaign.176.springfield_ma.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
177	bellevue_wa	Bellevue	Samantha	campaign.177.bellevue_wa.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
178	naperville_il	Naperville	Alex	campaign.178.naperville_il.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
179	joliet_il	Joliet	Alex	campaign.179.joliet_il.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
180	bridgeport_ct	Bridgeport	Victoria	campaign.180.bridgeport_ct.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
181	mesquite_tx	Mesquite	Daniel	campaign.181.mesquite_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
182	pasadena_tx	Pasadena	Daniel	campaign.182.pasadena_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
183	olathe_ks	Olathe	Alex	campaign.183.olathe_ks.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
184	escondido_ca	Escondido	Samantha	campaign.184.escondido_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
185	savannah_ga	Savannah	Daniel	campaign.185.savannah_ga.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
186	mcallen_tx	McAllen	Daniel	campaign.186.mcallen_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
187	gainesville_fl	Gainesville	Daniel	campaign.187.gainesville_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
188	pomona_ca	Pomona	Samantha	campaign.188.pomona_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
189	rockford_il	Rockford	Alex	campaign.189.rockford_il.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
190	thornton_co	Thornton	Samantha	campaign.190.thornton_co.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
191	waco_tx	Waco	Daniel	campaign.191.waco_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
192	visalia_ca	Visalia	Samantha	campaign.192.visalia_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
193	syracuse_ny	Syracuse	Victoria	campaign.193.syracuse_ny.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
194	columbia_sc	Columbia	Daniel	campaign.194.columbia_sc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
195	midland_tx	Midland	Daniel	campaign.195.midland_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
196	miramar_fl	Miramar	Daniel	campaign.196.miramar_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
197	palm_bay_fl	Palm Bay	Daniel	campaign.197.palm_bay_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
198	jackson_ms	Jackson	Daniel	campaign.198.jackson_ms.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
199	coral_springs_fl	Coral Springs	Daniel	campaign.199.coral_springs_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
200	victorville_ca	Victorville	Samantha	campaign.200.victorville_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
201	elizabeth_nj	Elizabeth	Victoria	campaign.201.elizabeth_nj.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
202	fullerton_ca	Fullerton	Samantha	campaign.202.fullerton_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
203	meridian_id	Meridian	Samantha	campaign.203.meridian_id.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
204	torrance_ca	Torrance	Samantha	campaign.204.torrance_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
205	stamford_ct	Stamford	Victoria	campaign.205.stamford_ct.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
206	west_valley_city_ut	West Valley City	Samantha	campaign.206.west_valley_city_ut.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
207	orange_ca	Orange	Samantha	campaign.207.orange_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
208	cedar_rapids_ia	Cedar Rapids	Alex	campaign.208.cedar_rapids_ia.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
209	warren_mi	Warren	Alex	campaign.209.warren_mi.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
210	hampton_va	Hampton	Daniel	campaign.210.hampton_va.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
211	new_haven_ct	New Haven	Victoria	campaign.211.new_haven_ct.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
212	pasadena_ca	Pasadena	Samantha	campaign.212.pasadena_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
213	kent_wa	Kent	Samantha	campaign.213.kent_wa.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
214	dayton_oh	Dayton	Alex	campaign.214.dayton_oh.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
215	fargo_nd	Fargo	Alex	campaign.215.fargo_nd.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
216	lewisville_tx	Lewisville	Daniel	campaign.216.lewisville_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
217	carrollton_tx	Carrollton	Daniel	campaign.217.carrollton_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
218	round_rock_tx	Round Rock	Daniel	campaign.218.round_rock_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
219	sterling_heights_mi	Sterling Heights	Alex	campaign.219.sterling_heights_mi.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
220	santa_clara_ca	Santa Clara	Samantha	campaign.220.santa_clara_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
221	norman_ok	Norman	Daniel	campaign.221.norman_ok.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
222	columbia_mo	Columbia	Alex	campaign.222.columbia_mo.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
223	abilene_tx	Abilene	Daniel	campaign.223.abilene_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
224	pearland_tx	Pearland	Daniel	campaign.224.pearland_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
225	athens_clarke_county_ga	Athens-Clarke County	Daniel	campaign.225.athens_clarke_county_ga.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
226	college_station_tx	College Station	Daniel	campaign.226.college_station_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
227	clovis_ca	Clovis	Samantha	campaign.227.clovis_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
228	west_palm_beach_fl	West Palm Beach	Daniel	campaign.228.west_palm_beach_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
229	allentown_pa	Allentown	Victoria	campaign.229.allentown_pa.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
230	north_charleston_sc	North Charleston	Daniel	campaign.230.north_charleston_sc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
231	simi_valley_ca	Simi Valley	Samantha	campaign.231.simi_valley_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
232	topeka_ks	Topeka	Alex	campaign.232.topeka_ks.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
233	wilmington_nc	Wilmington	Daniel	campaign.233.wilmington_nc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
234	lakeland_fl	Lakeland	Daniel	campaign.234.lakeland_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
235	thousand_oaks_ca	Thousand Oaks	Samantha	campaign.235.thousand_oaks_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
236	concord_ca	Concord	Samantha	campaign.236.concord_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
237	rochester_mn	Rochester	Alex	campaign.237.rochester_mn.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
238	vallejo_ca	Vallejo	Samantha	campaign.238.vallejo_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
239	ann_arbor_mi	Ann Arbor	Alex	campaign.239.ann_arbor_mi.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
240	broken_arrow_ok	Broken Arrow	Daniel	campaign.240.broken_arrow_ok.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
241	fairfield_ca	Fairfield	Samantha	campaign.241.fairfield_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
242	lafayette_la	Lafayette	Daniel	campaign.242.lafayette_la.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
243	hartford_ct	Hartford	Victoria	campaign.243.hartford_ct.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
244	arvada_co	Arvada	Samantha	campaign.244.arvada_co.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
245	berkeley_ca	Berkeley	Samantha	campaign.245.berkeley_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
246	independence_mo	Independence	Alex	campaign.246.independence_mo.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
247	billings_mt	Billings	Samantha	campaign.247.billings_mt.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
248	cambridge_ma	Cambridge	Victoria	campaign.248.cambridge_ma.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
249	lowell_ma	Lowell	Victoria	campaign.249.lowell_ma.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
250	odessa_tx	Odessa	Daniel	campaign.250.odessa_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
251	high_point_nc	High Point	Daniel	campaign.251.high_point_nc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
252	league_city_tx	League City	Daniel	campaign.252.league_city_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
253	antioch_ca	Antioch	Samantha	campaign.253.antioch_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
254	richardson_tx	Richardson	Daniel	campaign.254.richardson_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
255	goodyear_az	Goodyear	Samantha	campaign.255.goodyear_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
256	pompano_beach_fl	Pompano Beach	Daniel	campaign.256.pompano_beach_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
257	nampa_id	Nampa	Samantha	campaign.257.nampa_id.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
258	menifee_ca	Menifee	Samantha	campaign.258.menifee_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
259	las_cruces_nm	Las Cruces	Samantha	campaign.259.las_cruces_nm.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
260	clearwater_fl	Clearwater	Daniel	campaign.260.clearwater_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
261	west_jordan_ut	West Jordan	Samantha	campaign.261.west_jordan_ut.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
262	new_braunfels_tx	New Braunfels	Daniel	campaign.262.new_braunfels_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
263	manchester_nh	Manchester	Victoria	campaign.263.manchester_nh.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
264	miami_gardens_fl	Miami Gardens	Daniel	campaign.264.miami_gardens_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
265	waterbury_ct	Waterbury	Victoria	campaign.265.waterbury_ct.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
266	provo_ut	Provo	Samantha	campaign.266.provo_ut.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
267	evansville_in	Evansville	Alex	campaign.267.evansville_in.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
268	richmond_ca	Richmond	Samantha	campaign.268.richmond_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
269	westminster_co	Westminster	Samantha	campaign.269.westminster_co.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
270	elgin_il	Elgin	Alex	campaign.270.elgin_il.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
271	conroe_tx	Conroe	Daniel	campaign.271.conroe_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
272	greeley_co	Greeley	Samantha	campaign.272.greeley_co.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
