rank	slug	city	region	district_style	art_kit	landmark	architecture_signature	novel_gameplay_detail	all_city_layers
122	amarillo_tx	Amarillo	Southern Evac Line	Southern Evac Line drone beacon yard	Desert Solar Grid	Amarillo Rescue Arch	Desert Solar Grid with timed beacon pylons around Amarillo Rescue Arch, signature 122	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
123	overland_park_ks	Overland Park	Midwest Grid	Midwest Grid triage routing depot	Rail Yard	Overland Park Data Beacon	Rail Yard with triage conveyor lanes around Overland Park Data Beacon, signature 123	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
124	columbus_ga	Columbus	Southern Evac Line	Southern Evac Line triage routing depot	Coastal Port	Columbus Command Obelisk	Coastal Port with triage conveyor lanes around Columbus Command Obelisk, signature 124	Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
125	augusta_richmond_county_ga	Augusta-Richmond County	Southern Evac Line	Southern Evac Line radio tower district	Coastal Port	Augusta-Richmond County Relay Bridge	Coastal Port with backward radio mast around Augusta-Richmond County Relay Bridge, signature 125	Radio rewind mast 1: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
126	mobile_al	Mobile	Southern Evac Line	Southern Evac Line mirror-code archive	Metro Core	Mobile Power Crown	Metro Core with mirrored plaza around Mobile Power Crown, signature 126	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
127	oxnard_ca	Oxnard	Western Corridor	Western Corridor drone beacon yard	Coastal Port	Oxnard Signal Spire	Coastal Port with timed beacon pylons around Oxnard Signal Spire, signature 127	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
128	grand_rapids_mi	Grand Rapids	Midwest Grid	Midwest Grid triage routing depot	Great Lakes Industrial	Grand Rapids Rescue Arch	Great Lakes Industrial with triage conveyor lanes around Grand Rapids Rescue Arch, signature 128	Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
129	peoria_az	Peoria	Western Corridor	Western Corridor triage routing depot	Desert Solar Grid	Peoria Data Beacon	Desert Solar Grid with triage conveyor lanes around Peoria Data Beacon, signature 129	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
130	vancouver_wa	Vancouver	Western Corridor	Western Corridor radio tower district	Coastal Port	Vancouver Command Obelisk	Coastal Port with backward radio mast around Vancouver Command Obelisk, signature 130	Radio rewind mast 2: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
131	knoxville_tn	Knoxville	Southern Evac Line	Southern Evac Line mirror-code archive	African Urban Relay	Knoxville Relay Bridge	African Urban Relay with mirrored plaza around Knoxville Relay Bridge, signature 131	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
132	birmingham_al	Birmingham	Southern Evac Line	Southern Evac Line drone beacon yard	Metro Core	Birmingham Power Crown	Metro Core with timed beacon pylons around Birmingham Power Crown, signature 132	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
133	montgomery_al	Montgomery	Southern Evac Line	Southern Evac Line triage routing depot	Metro Core	Montgomery Signal Spire	Metro Core with triage conveyor lanes around Montgomery Signal Spire, signature 133	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
134	providence_ri	Providence	Northeast Relay	Northeast Relay triage routing depot	Coastal Port	Providence Rescue Arch	Coastal Port with triage conveyor lanes around Providence Rescue Arch, signature 134	Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
135	huntington_beach_ca	Huntington Beach	Western Corridor	Western Corridor radio tower district	Coastal Port	Huntington Beach Data Beacon	Coastal Port with backward radio mast around Huntington Beach Data Beacon, signature 135	Radio rewind mast 3: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
136	brownsville_tx	Brownsville	Southern Evac Line	Southern Evac Line mirror-code archive	Desert Solar Grid	Brownsville Command Obelisk	Desert Solar Grid with mirrored plaza around Brownsville Command Obelisk, signature 136	Mirror-code walk 4: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
137	chattanooga_tn	Chattanooga	Southern Evac Line	Southern Evac Line drone beacon yard	African Urban Relay	Chattanooga Relay Bridge	African Urban Relay with timed beacon pylons around Chattanooga Relay Bridge, signature 137	Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
138	fort_lauderdale_fl	Fort Lauderdale	Southern Evac Line	Southern Evac Line triage routing depot	Coastal Port	Fort Lauderdale Power Crown	Coastal Port with triage conveyor lanes around Fort Lauderdale Power Crown, signature 138	Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
139	tempe_az	Tempe	Western Corridor	Western Corridor triage routing depot	Desert Solar Grid	Tempe Signal Spire	Desert Solar Grid with triage conveyor lanes around Tempe Signal Spire, signature 139	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
140	akron_oh	Akron	Midwest Grid	Midwest Grid radio tower district	Great Lakes Industrial	Akron Rescue Arch	Great Lakes Industrial with backward radio mast around Akron Rescue Arch, signature 140	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
141	glendale_ca	Glendale	Western Corridor	Western Corridor mirror-code archive	Coastal Port	Glendale Data Beacon	Coastal Port with mirrored plaza around Glendale Data Beacon, signature 141	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
142	clarksville_tn	Clarksville	Southern Evac Line	Southern Evac Line drone beacon yard	African Urban Relay	Clarksville Command Obelisk	African Urban Relay with timed beacon pylons around Clarksville Command Obelisk, signature 142	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
143	ontario_ca	Ontario	Western Corridor	Western Corridor triage routing depot	Coastal Port	Ontario Relay Bridge	Coastal Port with triage conveyor lanes around Ontario Relay Bridge, signature 143	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
144	newport_news_va	Newport News	Southern Evac Line	Southern Evac Line triage routing depot	Coastal Port	Newport News Power Crown	Coastal Port with triage conveyor lanes around Newport News Power Crown, signature 144	Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
145	elk_grove_ca	Elk Grove	Western Corridor	Western Corridor radio tower district	Coastal Port	Elk Grove Signal Spire	Coastal Port with backward radio mast around Elk Grove Signal Spire, signature 145	Radio rewind mast 1: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
146	cary_nc	Cary	Southern Evac Line	Southern Evac Line mirror-code archive	Coastal Port	Cary Rescue Arch	Coastal Port with mirrored plaza around Cary Rescue Arch, signature 146	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
147	aurora_il	Aurora	Midwest Grid	Midwest Grid drone beacon yard	Great Lakes Industrial	Aurora Data Beacon	Great Lakes Industrial with timed beacon pylons around Aurora Data Beacon, signature 147	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
148	salem_or	Salem	Western Corridor	Western Corridor triage routing depot	Coastal Port	Salem Command Obelisk	Coastal Port with triage conveyor lanes around Salem Command Obelisk, signature 148	Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
149	pembroke_pines_fl	Pembroke Pines	Southern Evac Line	Southern Evac Line triage routing depot	Coastal Port	Pembroke Pines Relay Bridge	Coastal Port with triage conveyor lanes around Pembroke Pines Relay Bridge, signature 149	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
150	eugene_or	Eugene	Western Corridor	Western Corridor radio tower district	Coastal Port	Eugene Power Crown	Coastal Port with backward radio mast around Eugene Power Crown, signature 150	Radio rewind mast 2: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
151	santa_rosa_ca	Santa Rosa	Western Corridor	Western Corridor mirror-code archive	Coastal Port	Santa Rosa Signal Spire	Coastal Port with mirrored plaza around Santa Rosa Signal Spire, signature 151	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
152	rancho_cucamonga_ca	Rancho Cucamonga	Western Corridor	Western Corridor drone beacon yard	Coastal Port	Rancho Cucamonga Rescue Arch	Coastal Port with timed beacon pylons around Rancho Cucamonga Rescue Arch, signature 152	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
153	shreveport_la	Shreveport	Southern Evac Line	Southern Evac Line triage routing depot	Coastal Port	Shreveport Data Beacon	Coastal Port with triage conveyor lanes around Shreveport Data Beacon, signature 153	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
154	garden_grove_ca	Garden Grove	Western Corridor	Western Corridor triage routing depot	Coastal Port	Garden Grove Command Obelisk	Coastal Port with triage conveyor lanes around Garden Grove Command Obelisk, signature 154	Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
155	oceanside_ca	Oceanside	Western Corridor	Western Corridor radio tower district	Coastal Port	Oceanside Relay Bridge	Coastal Port with backward radio mast around Oceanside Relay Bridge, signature 155	Radio rewind mast 3: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
156	fort_collins_co	Fort Collins	Western Corridor	Western Corridor mirror-code archive	Latin Metro	Fort Collins Power Crown	Latin Metro with mirrored plaza around Fort Collins Power Crown, signature 156	Mirror-code walk 4: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
157	springfield_mo	Springfield	Midwest Grid	Midwest Grid drone beacon yard	River Lockworks	Springfield Signal Spire	River Lockworks with timed beacon pylons around Springfield Signal Spire, signature 157	Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
158	murfreesboro_tn	Murfreesboro	Southern Evac Line	Southern Evac Line triage routing depot	African Urban Relay	Murfreesboro Rescue Arch	African Urban Relay with triage conveyor lanes around Murfreesboro Rescue Arch, signature 158	Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
159	surprise_az	Surprise	Western Corridor	Western Corridor triage routing depot	Desert Solar Grid	Surprise Data Beacon	Desert Solar Grid with triage conveyor lanes around Surprise Data Beacon, signature 159	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
160	lancaster_ca	Lancaster	Western Corridor	Western Corridor radio tower district	Coastal Port	Lancaster Command Obelisk	Coastal Port with backward radio mast around Lancaster Command Obelisk, signature 160	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
161	denton_tx	Denton	Southern Evac Line	Southern Evac Line mirror-code archive	Desert Solar Grid	Denton Relay Bridge	Desert Solar Grid with mirrored plaza around Denton Relay Bridge, signature 161	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
162	roseville_ca	Roseville	Western Corridor	Western Corridor drone beacon yard	Coastal Port	Roseville Power Crown	Coastal Port with timed beacon pylons around Roseville Power Crown, signature 162	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
163	palmdale_ca	Palmdale	Western Corridor	Western Corridor triage routing depot	Coastal Port	Palmdale Signal Spire	Coastal Port with triage conveyor lanes around Palmdale Signal Spire, signature 163	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
164	corona_ca	Corona	Western Corridor	Western Corridor triage routing depot	Coastal Port	Corona Rescue Arch	Coastal Port with triage conveyor lanes around Corona Rescue Arch, signature 164	Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
165	salinas_ca	Salinas	Western Corridor	Western Corridor radio tower district	Coastal Port	Salinas Data Beacon	Coastal Port with backward radio mast around Salinas Data Beacon, signature 165	Radio rewind mast 1: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
166	killeen_tx	Killeen	Southern Evac Line	Southern Evac Line mirror-code archive	Desert Solar Grid	Killeen Command Obelisk	Desert Solar Grid with mirrored plaza around Killeen Command Obelisk, signature 166	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
167	paterson_nj	Paterson	Northeast Relay	Northeast Relay drone beacon yard	Coastal Port	Paterson Relay Bridge	Coastal Port with timed beacon pylons around Paterson Relay Bridge, signature 167	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
168	alexandria_va	Alexandria	Southern Evac Line	Southern Evac Line triage routing depot	Coastal Port	Alexandria Power Crown	Coastal Port with triage conveyor lanes around Alexandria Power Crown, signature 168	Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
169	hollywood_fl	Hollywood	Southern Evac Line	Southern Evac Line triage routing depot	Coastal Port	Hollywood Signal Spire	Coastal Port with triage conveyor lanes around Hollywood Signal Spire, signature 169	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
170	hayward_ca	Hayward	Western Corridor	Western Corridor radio tower district	Coastal Port	Hayward Rescue Arch	Coastal Port with backward radio mast around Hayward Rescue Arch, signature 170	Radio rewind mast 2: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
171	charleston_sc	Charleston	Southern Evac Line	Southern Evac Line mirror-code archive	Coastal Port	Charleston Data Beacon	Coastal Port with mirrored plaza around Charleston Data Beacon, signature 171	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
172	macon_bibb_county_ga	Macon-Bibb County	Southern Evac Line	Southern Evac Line drone beacon yard	Coastal Port	Macon-Bibb County Command Obelisk	Coastal Port with timed beacon pylons around Macon-Bibb County Command Obelisk, signature 172	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
173	lakewood_co	Lakewood	Western Corridor	Western Corridor triage routing depot	Latin Metro	Lakewood Relay Bridge	Latin Metro with triage conveyor lanes around Lakewood Relay Bridge, signature 173	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
174	sunnyvale_ca	Sunnyvale	Western Corridor	Western Corridor triage routing depot	Coastal Port	Sunnyvale Power Crown	Coastal Port with triage conveyor lanes around Sunnyvale Power Crown, signature 174	Triage sorter 2: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
175	kansas_city_ks	Kansas City	Midwest Grid	Midwest Grid triage routing depot	Rail Yard	Kansas City Signal Spire	Rail Yard with triage conveyor lanes around Kansas City Signal Spire, signature 175	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
176	springfield_ma	Springfield	Northeast Relay	Northeast Relay evacuation chain depot	African Urban Relay	Springfield Rescue Arch	African Urban Relay with linked evacuation posts around Springfield Rescue Arch, signature 176	Evacuation chain 4: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
177	bellevue_wa	Bellevue	Western Corridor	Western Corridor mirror-code archive	Coastal Port	Bellevue Data Beacon	Coastal Port with mirrored plaza around Bellevue Data Beacon, signature 177	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
178	naperville_il	Naperville	Midwest Grid	Midwest Grid sorted supply-cache vault	Great Lakes Industrial	Naperville Command Obelisk	Great Lakes Industrial with halved search vault around Naperville Command Obelisk, signature 178	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
179	joliet_il	Joliet	Midwest Grid	Midwest Grid drone beacon yard	Great Lakes Industrial	Joliet Relay Bridge	Great Lakes Industrial with timed beacon pylons around Joliet Relay Bridge, signature 179	Beacon cycle yard 3: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
180	bridgeport_ct	Bridgeport	Northeast Relay	Northeast Relay triage routing depot	Coastal Port	Bridgeport Power Crown	Coastal Port with triage conveyor lanes around Bridgeport Power Crown, signature 180	Triage sorter 4: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
181	mesquite_tx	Mesquite	Southern Evac Line	Southern Evac Line evacuation chain depot	Desert Solar Grid	Mesquite Signal Spire	Desert Solar Grid with linked evacuation posts around Mesquite Signal Spire, signature 181	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
182	pasadena_tx	Pasadena	Southern Evac Line	Southern Evac Line mirror-code archive	Desert Solar Grid	Pasadena Rescue Arch	Desert Solar Grid with mirrored plaza around Pasadena Rescue Arch, signature 182	Mirror-code walk 2: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
183	olathe_ks	Olathe	Midwest Grid	Midwest Grid sorted supply-cache vault	Rail Yard	Olathe Data Beacon	Rail Yard with halved search vault around Olathe Data Beacon, signature 183	Sorted-cache vault 3: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
184	escondido_ca	Escondido	Western Corridor	Western Corridor drone beacon yard	Coastal Port	Escondido Command Obelisk	Coastal Port with timed beacon pylons around Escondido Command Obelisk, signature 184	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
185	savannah_ga	Savannah	Southern Evac Line	Southern Evac Line triage routing depot	Coastal Port	Savannah Relay Bridge	Coastal Port with triage conveyor lanes around Savannah Relay Bridge, signature 185	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
186	mcallen_tx	McAllen	Southern Evac Line	Southern Evac Line evacuation chain depot	Desert Solar Grid	McAllen Power Crown	Desert Solar Grid with linked evacuation posts around McAllen Power Crown, signature 186	Evacuation chain 2: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
